Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220405-18,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1001.000,1212.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Vizlas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062721
220405-19,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Vizlas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062779
220405-22,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Allažu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319063007
220405-20,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1001.000,1212.000,"","","",2022-08-01,"","Alīses iela 3A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062916
220405-21,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,"","","",2022-08-01,"","Alīses iela 3A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062944
220405-23,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,"","","",2022-08-01,"","Alīses iela 3A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319063082
220405-14,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,962.000,1168.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Vizlas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062571
220405-17,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Burtnieku iela 37, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319062668
220405-61,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Allažu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319086773
220405-62,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,962.000,1168.000,"","","",2022-08-01,"","Alīses iela 3A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319087084
220405-78,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Allažu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319092844
220405-81,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,Normālais darba laiks,40,2022-08-01,"","Allažu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319093463
220405-87,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1001.000,1212.000,Viena vesela slodze,"","",2022-08-01,"","Daugavgrīvas iela 34A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319094091
220405-90,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,"","",2022-08-01,"","Daugavgrīvas iela 34A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319094703
220405-89,2022-04-05,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1018.000,1230.000,Viena vesela slodze,"","",2022-08-01,"","Daugavgrīvas iela 34A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319094577
