Vakances Nr,Aktualizācijas datums,Iestādes reģistrācijas numurs,Vakances nosaukums,Vakances kategorija,Alga no,Alga līdz,Slodzes tips,Darba laika veids,Darba stundas nedēļā,Pieteikšanās termiņš,Attēls,Vieta,Vakances paplašināts apraksts
220419-23,2022-04-29,44103015509,OTRREIZĒJO IZEJVIELU ŠĶIROTĀJS,Pakalpojumi,750.000,1000.000,Viena vesela slodze,"","",2022-05-20,"","Daibe, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319927475
220503-43,2022-05-03,44103015509,GADĪJUMA DARBU STRĀDNIEKS,Pakalpojumi,500.000,500.000,Viena vesela slodze,"","",2022-05-20,"","Daibe, Stalbes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321151029
220503-61,2022-05-03,44103015509,ATKRITUMU SAVĀCĒJS,Pakalpojumi,700.000,800.000,Viena vesela slodze,"","",2022-05-20,"","Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321154098
220413-197,2022-04-14,90000064301,INSPEKTORS,Valsts pārvalde,940.000,1190.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-08,"","Lubānas iela 49, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319811747
220503-32,2022-05-03,90000064301,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Valsts pārvalde,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-01,"","Peldu iela 30, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321146613
220503-34,2022-05-03,90000064301,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,940.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-01,"","Peldu iela 30, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321147795
220405-153,2022-04-29,90000033458,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,180.000,190.000,Nepilna slodze,Nepilnais darba laiks,7,2022-05-30,"","Visbijas iela 1, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/319110362
220120-155,2022-03-01,90000033458,MĀSA (MEDICĪNAS MĀSA),Izglītība / Zinātne,600.000,650.000,Nepilna slodze,Nepilnais darba laiks,"",2022-05-30,"","Visbijas iela 1, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/314480080
220429-98,2022-04-29,90000033458,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,870.000,880.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-31,"","Skolas iela 20A, Ceraukste, Ceraukstes pag., Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320900705
220426-116,2022-04-26,40003575567,ELEKTROINŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1587.000,1611.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320540026
220413-77,2022-04-13,40003575567,LĪNIJSTRĀDNIEKS,Elektronika / Enerģētika / Elektroenerģija,981.000,1073.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-10,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319770358
220413-81,2022-04-26,40003575567,RELEJU AIZSARDZĪBAS UN AUTOMĀTIKAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1480.000,1880.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319770897
220426-119,2022-04-26,40003575567,Programmatūras ARHITEKTS,Elektronika / Enerģētika / Elektroenerģija,1900.000,2300.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320540112
220420-184,2022-04-20,40003575567,PADOMES LOCEKLIS,Elektronika / Enerģētika / Elektroenerģija,3010.000,3010.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-08,"","Dārzciema iela 86, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320126436
211228-12,2022-04-25,40900029747,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,569.420,569.420,Nepilna slodze,Normālais darba laiks,"",2022-05-29,"","Stacijas iela 45, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/312672153
220330-145,2022-04-25,40900029747,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,565.000,565.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-30,"","Stacijas iela 45, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/318717925
220421-20,2022-04-29,90000031048,PROJEKTA VADĪTĀJS,Valsts pārvalde,1450.000,1450.000,"","","",2022-05-05,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320153255
220427-178,2022-04-29,90000031048,PROJEKTA VADĪTĀJS,Valsts pārvalde,1400.000,1400.000,"","","",2022-05-09,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320681144
220425-235,2022-04-29,90000031048,PAŠVALDĪBAS IZPILDDIREKTORS,Valsts pārvalde,2441.000,2441.000,"","","",2022-05-06,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320466353
220428-14,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1412.000,1412.000,"","","",2022-05-17,"","Noras iela 15, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320723754
220428-31,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1351.000,1351.000,"","","",2022-05-17,"","Ata Kronvalda iela 35, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320738938
220428-49,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1388.000,1388.000,"","","",2022-05-17,"","Sporta iela 14, Augšlīgatne, Līgatnes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320745756
220428-52,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1672.000,1672.000,"","","",2022-05-17,"","Bērzaines iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320747036
220428-101,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1332.000,1332.000,"","","",2022-05-17,"","Nītaures Skola, Nītaure, Nītaures pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320758705
220428-104,2022-04-29,90000031048,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Izglītība / Zinātne,1332.000,1332.000,"","","",2022-05-17,"","Mākslas iela 2, Augšlīgatne, Līgatnes pag., Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320759784
220503-241,2022-05-03,90000031048,REVIDENTS,Valsts pārvalde,1600.000,1600.000,"","","",2022-05-15,"","Raunas iela 4, Cēsis, Cēsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321187079
220412-141,2022-04-12,90001747396,MEISTARS (enerģētikas jomā),Elektronika / Enerģētika / Elektroenerģija,842.000,936.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-27,"","Kleistu iela 29, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319666306
220427-206,2022-04-27,90001747396,ELEKTROIETAIŠU EKSPLUATĀCIJAS INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,936.000,936.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-27,"","Kleistu iela 29, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320688097
220427-205,2022-04-27,90001747396,ELEKTROTĪKLU ELEKTRIĶIS,Elektronika / Enerģētika / Elektroenerģija,883.000,936.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-27,"","Ķeguma iela 66, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320687984
220427-207,2022-04-27,90001747396,APGAISMES ELEKTRIĶIS,Elektronika / Enerģētika / Elektroenerģija,921.000,936.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-27,"","Kleistu iela 29, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320688193
220427-208,2022-04-27,90001747396,MEISTARS (apstrādes rūpniecības jomā),Elektronika / Enerģētika / Elektroenerģija,850.000,850.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-27,"","Ķeguma iela 66, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320688287
220426-114,2022-05-03,41503002269,TRAMVAJA KONDUKTORS,Pakalpojumi,2.720,3.130,Viena vesela slodze,Summētais darba laiks,"",2022-05-31,"","18. novembra iela 183, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/320537364
220422-192,2022-04-22,40900037956,BŪVINSPEKTORS,Būvniecība / Nekustamais īpašums,1647.000,1647.000,Viena vesela slodze,"","",2022-05-09,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320327421
220422-195,2022-04-22,40900037956,JURISTS,Jurisprudence / Tieslietas,1382.000,1382.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-09,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320327922
220324-207,2022-03-24,90001637096,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,883.000,883.000,Viena vesela slodze,"","",2022-05-23,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318341496
220324-203,2022-03-24,90001637096,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1000.000,1000.000,Nepilna slodze,"","",2022-05-23,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/318341267
220427-121,2022-04-27,90000074812,TRAKTORTEHNIKAS VADĪTĀJS,Valsts pārvalde,558.000,558.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-09,"","Pagastmāja, Sece, Seces pag., Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320659929
220427-140,2022-04-27,90000074812,VECĀKAIS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1300.000,1300.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-12,"","Lāčplēša iela 1, Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320666867
220427-176,2022-04-28,90000074812,BŪVINSPEKTORA PALĪGS,Būvniecība / Nekustamais īpašums,1200.000,1200.000,"","","",2022-05-12,"",Aizkraukles nov.,https://cvvp.nva.gov.lv/#/pub/vakances/320680978
220331-267,2022-04-13,40003857687,ELEKTROMONTIERIS,Pakalpojumi,5.690,7.830,Viena vesela slodze,"","",2022-05-12,"","Zvaigžņu iela 5, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/318834923
220422-122,2022-04-22,90001517332,DATORSISTĒMU UN DATORTĪKLU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,1500.000,1500.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Akmeņu iela 3, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/320313979
220422-176,2022-04-22,90001517332,INFORMĀCIJAS SISTĒMU UZTURĒTĀJS,Informācijas tehnoloģijas / Telekomunikācijas,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Akmeņu iela 3, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/320324874
220308-160,2022-05-03,40900030479,PIRMSSKOLAS IESTĀŽU UN SKOLU MĀSA,Izglītība / Zinātne,753.000,753.000,Viena vesela slodze,Normālais darba laiks,"",2022-06-05,"","Komunālā iela 2, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/317295598
220427-232,2022-04-28,40003857687,EKSPERTS,Elektronika / Enerģētika / Elektroenerģija,1850.000,2050.000,"","","",2022-05-11,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320698766
220427-233,2022-04-27,40003857687,SKAITĻOTĀJU /SISTĒMU INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,2450.000,2700.000,"","","",2022-05-11,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320698815
220427-234,2022-04-27,40003857687,Datu ANALĪTIĶIS,Elektronika / Enerģētika / Elektroenerģija,2400.000,2650.000,"","","",2022-05-11,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320698820
220427-235,2022-04-27,40003857687,SKAITĻOTĀJU /SISTĒMU INŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,2000.000,2200.000,"","","",2022-05-11,"","Šmerļa iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320698823
220425-95,2022-04-25,40003857687,PRODUKCIJAS (PRECES) PIEŅĒMĒJS,Transports / Loģistika,1000.000,1100.000,Viena vesela slodze,"","",2022-05-08,"","Stigu iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320415290
220425-94,2022-04-25,40003857687,PRODUKCIJAS (PRECES) PIEŅĒMĒJS,Transports / Loģistika,1000.000,1100.000,Viena vesela slodze,"","",2022-05-08,"","Stigu iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320415140
220428-146,2022-04-28,2013901280,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1030.000,1030.000,Viena vesela slodze,Normālais darba laiks,30,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320783929
220428-147,2022-04-28,2013901280,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320784369
220428-149,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320784566
220428-150,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320784772
220428-152,2022-04-28,2013901280,SĀKUMIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1130.000,1130.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320786154
220428-154,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1130.000,1130.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320786580
220428-155,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,"",Normālais darba laiks,20,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320786811
220428-158,2022-04-28,2013901280,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Nepilna slodze,Normālais darba laiks,10,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320787192
220428-159,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Nepilna slodze,Normālais darba laiks,10,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320787461
220428-160,2022-04-28,2013901280,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1030.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-16,"","Gaujas iela 30, Ādaži, Ādažu pag., Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320788035
220408-58,2022-04-08,40003286750,APKURES IEKĀRTAS OPERATORS,Elektronika / Enerģētika / Elektroenerģija,940.000,1222.000,Viena vesela slodze,Summētais darba laiks,40,2022-05-06,"","Lēpju iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319402179
220503-422,2022-05-03,90002065000,LIETOJUMPROGRAMMU IZSTRĀDĀTĀJS,Valsts pārvalde,835.000,1190.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321222349
220503-415,2022-05-03,90002065000,ĢEODĒZISTS,Valsts pārvalde,835.000,1100.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321221415
220503-412,2022-05-03,90002065000,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,930.000,1210.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321220897
220503-416,2022-05-03,90002065000,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,835.000,1150.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321221490
220503-425,2022-05-03,90002065000,KARTOGRĀFS,Valsts pārvalde,800.000,980.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321222509
220503-419,2022-05-03,90002065000,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,835.000,1150.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321222145
220503-418,2022-05-03,90002065000,ĢEODĒZISTS,Valsts pārvalde,835.000,1100.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321222016
220503-421,2022-05-03,90002065000,KARTOGRĀFIJAS INŽENIERIS,Valsts pārvalde,835.000,1030.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321222255
220503-427,2022-05-03,90002065000,VECĀKAIS EKSPERTS,Valsts pārvalde,1210.000,1530.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321223141
220503-432,2022-05-03,90002065000,KARTOGRĀFIJAS INŽENIERIS,Valsts pārvalde,835.000,1030.000,"","","",2022-05-20,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321223585
220503-434,2022-05-03,90002065000,KARTOGRĀFS,Valsts pārvalde,800.000,980.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-20,"","Cēsu iela 54, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/321223816
220331-14,2022-04-25,40003344207,PROJEKTA VADĪTĀJS,Pakalpojumi,2000.000,2000.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-10,"","Gogoļa iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318741906
220502-347,2022-05-02,40003286750,Klientu KONSULTANTS (finanšu jomā),Elektronika / Enerģētika / Elektroenerģija,1280.000,1664.000,Viena vesela slodze,Normālais darba laiks,40,2022-05-18,"","Cēsu iela 3A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321089410
220428-129,2022-04-28,90000027926,SABIEDRISKO ATTIECĪBU SPECIĀLISTS,Mediji / Sabiedriskās attiecības,1190.000,1190.000,Viena vesela slodze,"","",2022-05-09,"","Krišjāņa Barona iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320776185
220428-246,2022-04-28,90009114839,BĀRIŅTIESAS PRIEKŠSĒDĒTĀJA VIETNIEKS,Valsts pārvalde,1110.000,1110.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-20,"","Semināra iela 9, Valka, Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320828553
220427-95,2022-04-27,90000048222,VECĀKAIS EKSPERTS,Valsts pārvalde,1052.000,1382.000,"","","",2022-05-06,"","Smilšu iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320649165
220427-97,2022-04-27,90000048222,VECĀKAIS EKSPERTS,Valsts pārvalde,1052.000,1382.000,"","","",2022-05-06,"","Smilšu iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320649885
220419-107,2022-04-28,90000048222,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS (VALSTS PĀRVALDES JOMĀ),Valsts pārvalde,1253.000,1647.000,"","","",2022-05-08,"","Smilšu iela 8, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319958013
220308-253,2022-04-22,90001638049,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,802.000,802.000,Viena vesela slodze,"","",2022-06-21,"","Zemgales iela 33, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/317317568
220405-118,2022-04-05,90009226487,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,276.000,401.000,Nepilna slodze,"","",2022-05-31,"","Berģu iela 160, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319099744
220503-499,2022-05-03,40003294758,APKOPĒJS,Pakalpojumi,650.000,650.000,"","","",2022-06-03,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321231708
220503-490,2022-05-03,40003294758,APKOPĒJS,Pakalpojumi,3.870,3.870,"","","",2022-06-03,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321231062
220503-503,2022-05-03,40003294758,APKOPĒJS,Pakalpojumi,3.870,3.870,"",Summētais darba laiks,"",2022-06-03,"","Krišjāņa Valdemāra iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/321232852
220427-134,2022-04-28,90000067986,SPORTA SPECIĀLISTS,Izglītība / Zinātne,1287.000,1287.000,Viena vesela slodze,"","",2022-05-13,"","Meža iela 1, Vangaži, Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320665734
220427-255,2022-04-28,90000067986,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (KULTŪRAS JOMĀ),Vadība / Administrēšana,1287.000,1287.000,"","","",2022-05-26,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/320704282
220427-257,2022-04-28,90000067986,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (KULTŪRAS JOMĀ),Vadība / Administrēšana,1524.000,1524.000,"","","",2022-05-26,"","Sporta iela 2 k-2, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320704917
220428-34,2022-04-28,90000067986,PIRMSSKOLAS IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1150.000,1150.000,"","","",2022-05-10,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320740308
220428-127,2022-04-28,90000067986,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Vadība / Administrēšana,1647.000,1647.000,"","","",2022-05-26,"","Meža iela 1, Vangaži, Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320775891
220428-134,2022-04-28,90000056357,VECĀKAIS REFERENTS,Valsts pārvalde,1174.000,1174.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Dubultu prospekts 1, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320778352
220428-137,2022-04-28,90000056357,FINANSISTS,Valsts pārvalde,1174.000,1174.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-16,"","Jomas iela 1/5, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320779009
220429-92,2022-04-29,90000056357,GRĀMATVEDIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),Valsts pārvalde,1116.000,1116.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-18,"","Jomas iela 1/5, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/320894996
220421-340,2022-04-21,90000054572,LABIEKĀRTOŠANAS STRĀDNIEKS,Cita,4.012,4.012,Viena vesela slodze,Summētais darba laiks,"",2022-05-06,"","Gaujas iela 37, Madona, Madonas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320252180
220421-338,2022-04-21,90000054572,TRAKTORTEHNIKAS VADĪTĀJS,Cita,4.790,4.790,Viena vesela slodze,Summētais darba laiks,"",2022-05-06,"","Gaujas iela 37, Madona, Madonas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320252144
220419-283,2022-04-21,90000054572,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Cita,1081.000,1081.000,Viena vesela slodze,Normālais darba laiks,"",2022-05-13,"","Pārupes iela 2, Jaunkalsnava, Kalsnavas pag., Madonas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/320023956
220405-128,2022-04-05,90009226487,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,276.000,401.000,Viena vesela slodze,"","",2022-05-31,"","Berģu iela 142, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319102404
220405-151,2022-04-05,90009226487,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,552.000,802.000,Viena vesela slodze,"","",2022-05-31,"","Kalnciema iela 1 k-2 - 93, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/319108275
220401-35,2022-04-04,90009226487,GALVENAIS SAIMNIECĪBAS PĀRZINIS,Cita,940.000,1287.000,Viena vesela slodze,"","",2022-05-31,"","Braila iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/318858054
